Borough                  | Year | Average Price

Barking and Dagenham     | 1995 | 63,480.00
Barking and Dagenham     | 1996 | 64,360.00
Barking and Dagenham     | 1997 | 66,184.00
Barking and Dagenham     | 1998 | 70,846.00
Barking and Dagenham     | 1999 | 74,822.00
Barking and Dagenham     | 2000 | 87,268.00
Barking and Dagenham     | 2001 | 96,195.00
Barking and Dagenham     | 2002 | 119,537.00
Barking and Dagenham     | 2003 | 145,931.00
Barking and Dagenham     | 2004 | 163,713.00
Barking and Dagenham     | 2009 | 166,317.00
Barking and Dagenham     | 2005 | 169,737.00
Barking and Dagenham     | 2006 | 174,864.00
Barking and Dagenham     | 2010 | 178,906.00
Barking and Dagenham     | 2011 | 180,263.00
Barking and Dagenham     | 2012 | 181,866.00
Barking and Dagenham     | 2013 | 187,472.00
Barking and Dagenham     | 2007 | 192,579.00
Barking and Dagenham     | 2008 | 196,717.00
Barking and Dagenham     | 2014 | 215,102.00
Kingston upon Thames     | 1995 | 102,213.00
Kingston upon Thames     | 1996 | 111,167.00
Kingston upon Thames     | 1997 | 118,318.00
Kingston upon Thames     | 1998 | 136,214.00
Kingston upon Thames     | 1999 | 152,545.00
Kingston upon Thames     | 2000 | 186,685.00
Kingston upon Thames     | 2001 | 202,416.00
Kingston upon Thames     | 2002 | 232,289.00
Kingston upon Thames     | 2003 | 244,306.00
Kingston upon Thames     | 2004 | 266,891.00
Kingston upon Thames     | 2005 | 277,698.00
Kingston upon Thames     | 2006 | 303,085.00
Kingston upon Thames     | 2009 | 328,781.00
Kingston upon Thames     | 2007 | 347,130.00
Kingston upon Thames     | 2008 | 356,682.00
Kingston upon Thames     | 2011 | 364,110.00
Kingston upon Thames     | 2010 | 373,427.00
Kingston upon Thames     | 2012 | 385,351.00
Kingston upon Thames     | 2013 | 413,779.00
Kingston upon Thames     | 2014 | 475,360.00
Lambeth                  | 1995 | 96,003.00
Lambeth                  | 1996 | 112,849.00
Lambeth                  | 1997 | 120,210.00
Lambeth                  | 1998 | 134,207.00
Lambeth                  | 1999 | 152,830.00
Lambeth                  | 2000 | 183,225.00
Lambeth                  | 2001 | 212,914.00
Lambeth                  | 2002 | 233,810.00
Lambeth                  | 2003 | 238,743.00
Lambeth                  | 2004 | 253,971.00
Lambeth                  | 2005 | 268,959.00
Lambeth                  | 2006 | 293,245.00
Lambeth                  | 2009 | 334,686.00
Lambeth                  | 2007 | 340,190.00
Lambeth                  | 2008 | 342,679.00
